Category,Name,Price,Description,URL
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Plasdent Half Chair Cover 32"" x 32"", Clear 200/Bx. Pleated construction presents a tidy, tapered",$21.19,Box of 200,https://www.net32.com/ec/plasdent-half-chair-cover-32-x-clear-d-137024?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Sani-Cloth AF3 Large Wipes (6"" x 6.75""). Case of 12 x 160 Wipes/Can. Disinfects in 3 minutes",$57.49,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/sanicloth-af3-large-wipes-6-x-675-d-167395?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,Pristine Ultrasonic Enzyme Tablets 64 /Box. Ultrasonic Enzyme Tablets are made from biodegradable,$33.40,Box of 64 tablets,https://www.net32.com/ec/pristine-ultrasonic-enzyme-tablets-64-box-made-d-165412?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviCide Surface Disinfectant / Decontaminant Cleaner, 2.5 Gallons. Ready-to-use",$72.39,2.5 gallon bottle,https://www.net32.com/ec/cavicide-surface-disinfectant-decontaminant-cleaner-25-gallons-d-149880?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 3.50"" x 6.5"" Self-Sealing Paper/Blue Film Sterilization Pouch, Box of 200. With color",$4.54,Box of 200,https://www.net32.com/ec/house-brand-350-x-65-selfsealing-paper-d-105621?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes1 Towelettes (Large), 6"" x 6.75"", 160/Can, 12 Canisters/Case. Disposable towelettes",$142.95,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/caviwipes1-towelettes-large-6-x-675-160-d-171307?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand CSR Wraps, 20"" x 20"" Blue Autoclave Sterilization Wrap Sheets for General Purpose",$48.90,Package of 500 sheets,https://www.net32.com/ec/house-brand-csr-wraps-20-x-blue-d-130629?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"EmPower 1 Gal. Enzymatic Solution, Fresh Scented. Dual-Enzymatic Detergent, effective as both",$48.06,1 gallon bottle of concentrate,https://www.net32.com/ec/empower-1-gal-enzymatic-solution-fresh-scented-d-29038?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"MARK3 Ultrasonic Bio-Enyzmatic Cleaning Tablets, 64/Box. Digests and removes blood, bone, tissue",$31.04,Box of 64 tablets,https://www.net32.com/ec/mark3-ultrasonic-bioenyzmatic-cleaning-tablets-64-box-d-155692?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"BluTab Waterline Maintenance Tablets 2L, Tastless, Odorless, 1 Tablet Treats 2 Liters of water",$52.98,"50 tablets, 1 Tablet Treats 2 Liters",https://www.net32.com/ec/blutab-waterline-maintenance-tablets-2l-tastless-odorless-d-106053?queryID=95cfd5958ae9c9a6dab61163e0702321
